rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-43.062222222222225|1.635434778149299|-0.28160920929793665|0.12908144313303566|1|0.0|1|0|3.614280407724998|0|0|1
-43.22121896162528|1.1718293677750014|-0.11882011847215608|8.736490958684973|1|0.0|1|-1|39.05725369765047|0|0|1
-43.578947368421055|0.8504701504239175|-0.23623841455648|67.74100665201438|0|0.0|1|-1|20.014388329004248|0|0|1
-43.62179487179487|0.9082453407246638|-0.04661208562042608|61.60910260873539|0|0.0|1|-1|20.53636753624513|0|0|1
-43.741134751773046|1.9105463524397106|-1.6487578924181714|6.6669191961492595|1|0.0|1|-1|50.25831394020211|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
-34.3683368869936|2.5830015938932616|-0.15772068102842335|0.12947055343731637|1|0.0|1|0|9.483718039283424|0|0|1
-34.69373942470389|3.1030160634675643|-0.3691486283974686|6.047561619607252|1|0.0|1|-1|132.03842869475832|0|0|1
-34.57954545454545|1.6147163479377797|0.19502153123913082|70.25936361083122|0|0.0|1|-1|20.000840735930055|0|0|1
-34.60458452722063|0.838597315613914|0.14397117498008805|60.58912660016326|1|0.0|1|-1|80.785502133551|0|0|1
-35.03148936170213|3.1867191016569927|-0.8375765881338434|4.016224120470331|1|0.0|1|-1|110.44616331293409|0|0|1
-47.02140672782875|2.340214941450283|-0.374098503756393|0.13363932630460756|1|0.0|1|0|2.0379997261452654|0|0|1
-47.71621621621622|1.8215694915950935|-0.30044117613917387|0.0|1|0.0|1|-1|35.121766803157676|0|0|1
-47.53365384615385|0.8138359522044917|0.11266352733048203|37.90003344567776|1|0.0|1|-1|11.267577510877171|0|0|1
-47.577922077922075|0.7366338632411656|0.007871846246064953|58.25586858372568|0|0.0|1|-1|19.756338041437402|0|0|1
-47.65|0.6982120021884471|0.43898431013592865|42.7697798443921|0|0.0|1|-1|27.344613343135933|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
-38.44871794871795|1.6883981762586036|-0.21638231191158283|0.12920432622913786|1|0.0|1|0|6.783227127029737|0|0|1
-38.682704811443436|2.045827360523506|0.2842683026827464|5.808355776858173|1|0.0|1|-1|77.09272212920848|0|0|1
-38.983695652173914|0.7904012703949596|0.11175894317580186|72.72688658498873|0|0.0|1|-1|19.561024667686624|0|0|1
-39.05161290322581|0.8408409644965226|0.08912391863977774|58.48425890677039|0|0.0|1|-1|19.662811184172803|0|0|1
-38.958333333333336|0.6441510347391795|-0.6039039712369739|22.869760983305426|0|0.0|1|-1|99.1022975943235|0|0|1
-50.55882352941177|1.0056071174869858|-0.2651648689672143|0.0|1|0.0|1|0|0.4249186636233142|0|0|1
-51.5|0.5|-18.295615158972176|0.0|0|0.0|1|-1|170.70255384093608|0|0|1
-51.861111111111114|0.97618241060031|-0.005477807078253087|35.14877629591384|0|0.0|1|-1|2.623043007157749|0|0|1
-51.58904109589041|0.8165348844288344|0.014556913658202324|54.51053460379622|0|0.0|1|-1|19.179632545780155|0|0|1
-51.81308411214953|0.887407661343493|-0.20351746864909961|66.01326131757726|0|0.0|1|-1|37.860546932139904|0|0|1
-39.483502538071065|2.1950525625897046|-0.30968763057473453|0.1333357006069434|1|0.0|1|0|4.033404943360038|0|0|1
-39.60057061340942|1.8153568131737705|-0.14338900976139532|0.0|1|0.0|1|-1|70.52515912830226|0|0|1
-39.729050279329606|1.5844194935528284|-0.297429923156871|43.117605643690865|1|0.0|1|-1|38.38518551206626|0|0|1
-39.714285714285715|0.8115584311671684|-0.11878154818870083|59.97910688330084|0|0.0|1|-1|20.34074059520637|0|0|1
-39.56730769230769|0.7691706707292336|-0.42843396758834046|70.34847853831509|0|0.0|1|-1|42.209087122989054|0|0|1
