rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-42.62002743484225|1.76917191709116|-0.3058140198483019|0.12872304972090698|1|0.0|1|0|4.730572077243331|0|0|1
-42.917312661498705|2.0942606480409047|0.005808672136161014|5.220596536259543|1|0.0|1|-1|45.94124951908398|0|0|1
-43.33714285714286|0.8655586847433824|-0.037950010980127236|70.94544333832732|0|0.0|1|-1|20.344649192608568|0|0|1
-43.23841059602649|1.1376087926812701|-0.08788345019325663|58.363050373305484|0|0.0|1|-1|19.62651251491689|0|0|1
-43.47727272727273|0.7534356570113989|4.204129088290667|106.99755102040817|0|0.0|1|-1|834.5808979591836|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
-34.538922155688624|3.717718397733932|-0.18306500488548352|0.128956087508688|1|0.0|1|0|10.090813847554838|0|0|1
-34.72380952380952|2.593180406706691|-0.2308334111816108|4.037130437795736|1|0.0|1|-1|127.67425009529016|0|0|1
-34.49162011173184|0.7575962802451767|-0.018067761916738|70.44125882011406|0|0.0|1|-1|19.622922099888918|0|0|1
-34.73460721868365|2.0283688144470546|0.1769895017409709|62.05157395163508|1|0.0|1|-1|19.674889301737952|0|0|1
-35.2358877865207|3.1202167838751715|-0.5056326072243351|3.0129474077408602|1|0.0|1|-1|132.56968594059785|0|0|1
-46.258278145695364|2.2403984276659257|-0.34128076769145804|0.13325500535995613|1|0.0|1|0|1.6323738156594625|0|0|1
-46.67398119122257|2.3409226029228454|-0.1526273177745364|0.0|1|0.0|1|-1|31.317392280352887|0|0|1
-46.609137055837564|0.8809995283954221|-0.047981565479468996|34.37482148967253|1|0.0|1|-1|10.615753695340045|0|0|1
-46.70422535211268|0.6795683426374546|-0.06161510317946182|51.85200932347215|0|0.0|1|-1|19.633285083644797|0|0|1
-46.77064220183486|0.797162715457925|-0.0077165912546806|75.38689979284169|0|0.0|1|-1|35.65596611823593|0|0|1
-37.53687415426252|2.534103033774804|-0.15692228081069212|0.128835275681018|1|0.0|1|0|7.891160635462351|0|0|1
-37.81242807825086|2.6754705073783613|0.12793705826488497|5.102194636198774|1|0.0|1|-1|94.90082023329718|0|0|1
-37.94736842105263|0.8112019664348696|0.11266833672453558|69.15418877741071|0|0.0|1|-1|18.441117007309522|0|0|1
-37.93333333333333|0.8248660742229859|0.15683745981912708|63.652788368529826|0|0.0|1|-1|19.702053542640183|0|0|1
-38.1025641025641|0.7087320492864232|-7.497961468610951|0.0|0|0.0|1|-1|953.5120691564706|0|0|1
-49.96|1.482700239428051|-0.15141591941694604|0.8225964445572517|1|0.0|1|0|0.03576506280683703|0|0|1
-51.0|0.816496580927726|-66.32432806787799|0.0|0|0.0|1|-1|242.12341973099348|0|0|1
-51.75824175824176|1.1891511363445086|-0.843855742886155|43.25641955320521|0|0.0|1|-1|4.169293450911345|0|0|1
-51.796178343949045|0.827388289865269|0.06623415282306912|62.71927941081479|0|0.0|1|-1|17.99323589654523|0|0|1
-51.76851851851852|0.9584563349226507|0.019977871208880598|78.80182916157938|0|0.0|1|-1|37.781698913086|0|0|1
-39.26923076923077|1.7545978724477895|-0.35531439518609137|0.13295184456164974|1|0.0|1|0|3.4899859197433054|0|0|1
-39.60162601626016|2.6532380505373223|-0.3978635556868994|0.0|1|0.0|1|-1|61.56766883685428|0|0|1
-39.87428571428571|3.938262333070466|-0.13110483982429763|38.39341329216641|1|0.0|1|-1|33.72394410798401|0|0|1
-39.86708860759494|0.7884003222336106|-0.09963354516674254|61.39961983379169|0|0.0|1|-1|20.122564483343496|0|0|1
-39.73118279569893|0.7054287942734074|-0.05309357383416558|59.656200065720746|0|0.0|1|-1|35.99943107414183|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
