rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-42.295392953929536|1.8144274019113358|-0.286116476250053|0.12970331789757192|1|0.0|1|0|4.053228684299123|0|0|1
-42.61981566820276|1.1011824240327972|-0.06491910418956222|9.819044307557798|1|0.0|1|-1|53.22955598307648|0|0|1
-43.00606060606061|0.8773028204395263|-0.12832208991996072|66.16714447609459|0|0.0|1|-1|18.4652496212357|0|0|1
-42.925170068027214|0.8657381371392128|-0.22568975999651444|59.279876355668385|0|0.0|1|-1|19.939594774179366|0|0|1
-43.666666666666664|2.7028791233711424|-0.7835231803279227|21.327508935688854|0|0.0|1|-1|18.046353714813648|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
-34.111599780098956|3.070398602484991|-0.20306818898323767|0.12981161541732364|1|0.0|1|0|9.865682771716598|0|0|1
-34.50090497737557|3.3174431487622127|-0.12113894352039442|8.667398439743106|1|0.0|1|-1|128.48143569501545|0|0|1
-34.140243902439025|0.9745993243126249|0.2703422985959812|64.83582647566409|0|0.0|1|-1|17.591115710451497|0|0|1
-34.029411764705884|0.7853547013422758|0.22390999455900226|53.66827818360955|0|0.0|1|-1|18.597918182438953|0|0|1
-34.889920424403186|3.639665686112541|-0.46501346385035597|10.081868986305974|1|0.0|1|-1|80.65495189044779|0|0|1
-45.644578313253014|2.898930131361851|-0.38281260175948795|0.13432057350215454|1|0.0|1|0|1.9476483157812408|0|0|1
-45.963855421686745|0.8057890413111308|-0.11791232681245624|0.0|1|0.0|1|-1|20.526404909536698|0|0|1
-46.03862660944206|0.8657834292803258|-0.04339507054400735|39.479989732847685|1|0.0|1|-1|23.789224582613347|0|0|1
-46.1656050955414|0.7473701984138919|-0.03840361610592598|59.4641668372756|0|0.0|1|-1|19.65341107333685|0|0|1
-46.10377358490566|0.8001090171359416|-0.03777222742472269|75.28895433083157|0|0.0|1|-1|40.372337829576345|0|0|1
-38.117502054231714|2.4082502003149635|-0.10567707261089879|0.12968890932304847|1|0.0|1|0|5.868423146867943|0|0|1
-38.12586445366529|1.5394967539706317|-0.0874470930102347|5.182056902619727|1|0.0|1|-1|76.17623646850998|0|0|1
-38.56521739130435|0.7541406091247724|-0.09911207610374628|64.25923329368771|0|0.0|1|-1|18.506659188582063|0|0|1
-38.66197183098591|0.7009784303171439|-0.050726291608405756|59.10613992401179|0|0.0|1|-1|17.89451942653568|0|0|1
-38.17391304347826|1.0065945132861063|-0.6791294132570289|14.81396703654424|0|0.0|1|-1|23.04394872351326|0|0|1
-50.22115384615385|3.887743884927722|-0.4543790748653623|0.10070228711995455|1|0.0|1|0|0.671348580799697|0|0|1
-50.4|0.4898979485566356|-20.600320676099976|0.0|0|0.0|1|-1|115.59396772202135|0|0|1
-50.72727272727273|0.9620913858416693|0.268865005793737|36.41180478923818|0|0.0|1|-1|3.0770539258511143|0|0|1
-50.737588652482266|1.14635029903524|0.08833751217850727|52.42497092124154|0|0.0|1|-1|20.044841822827646|0|0|1
-51.03809523809524|1.286736806801346|0.6730358983012202|76.36940931686495|0|0.0|1|-1|45.12737823269292|0|0|1
-39.03328710124827|2.79617360640019|-0.33368358991820757|0.13398517582566713|1|0.0|1|0|4.086547862682847|0|0|1
-38.96666666666667|1.3108521401490458|-0.11472931266485153|0.0|1|0.0|1|-1|73.8960435096882|0|0|1
-39.18694362017804|1.1126765547613906|-0.15411006924817944|44.85337747501114|1|0.0|1|-1|43.288724772394474|0|0|1
-39.814366998577526|1.6812178464150214|0.011471096437317132|63.1740539528566|1|0.0|1|-1|52.20996194450959|0|0|1
-39.85597826086956|1.2205963971537857|-0.272881962747036|32.773388701411484|1|0.0|1|-1|88.23604650380014|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
