rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-42.19392523364486|2.0191282735537626|-0.450107468613171|0.10074900922709004|1|0.0|1|0|3.0896362829640944|0|0|1
-42.56521739130435|0.7704367455073632|-0.4624795649893726|3.8420942777254115|0|0.0|1|-1|8.781929777658084|0|0|1
-42.93333333333333|0.8137703743822469|0.060337790330899525|74.11252958282344|0|0.0|1|-1|20.499210310142654|0|0|1
-42.88111888111888|0.788816148375025|-0.10461556021364149|54.440616333896614|0|0.0|1|-1|20.415231125211232|0|0|1
-43.08571428571429|0.8576189154173506|-0.31835922241534376|24.69771623371455|0|0.0|1|-1|31.071320423060243|0|0|1
-34.734002169197396|2.991381153592609|-0.1448058430586905|0.1297819602179823|1|0.0|1|0|9.60386505613069|0|0|1
-34.8422712933754|2.515010811868043|-0.01843259858090404|4.5435730000899115|1|0.0|1|-1|125.70551966915423|0|0|1
-35.00558659217877|1.2121231509234478|0.24924309725571991|65.35551038915725|0|0.0|1|-1|24.63400006975927|0|0|1
-34.89506172839506|0.8059043282630154|0.02214682380712748|62.219582439656946|0|0.0|1|-1|19.728160285744885|0|0|1
-35.78377298161471|3.4369111984967464|-0.859840795938754|10.533231015063961|1|0.0|1|-1|51.16140778745353|0|0|1
-45.93421052631579|2.05922523956405|-0.40221550544680434|0.13411597474642378|1|0.0|1|0|3.4534863497204125|0|0|1
-46.49295774647887|1.9147974829284498|0.10748609920964486|0.0|1|0.0|1|-1|39.59857585600241|0|0|1
-46.479729729729726|0.9861856260948763|-0.08809312765490454|38.81290987514811|1|0.0|1|-1|26.21131575984028|0|0|1
-46.86577181208054|3.3830563166890983|0.40218345658180304|55.96655430105601|0|0.0|1|-1|19.15972129225341|0|0|1
-46.55652173913043|0.6749081012846002|0.06912911326984537|61.97694143899253|0|0.0|1|-1|30.586023047814496|0|0|1
|||0.0|0|0.0|0|-1|0.0|0|0|0
-37.59537166900421|2.3097344845699|-0.21414938400405237|0.1296689335135335|1|0.0|1|0|7.164208576622726|0|0|1
-37.806171648987466|1.473664834290673|-0.08066442654620026|4.077295308230152|1|0.0|1|-1|93.26813017576472|0|0|1
-38.10126582278481|0.764644977748808|0.16935322290316138|61.92019900424065|0|0.0|1|-1|19.60806301800954|0|0|1
-38.10457516339869|0.8016600317104293|-0.04370136985848936|60.23884983747137|0|0.0|1|-1|17.86745546026693|0|0|1
-38.357142857142854|0.8329931278350429|0.8908643411896268|14.607263974105525|0|0.0|1|-1|33.510782058242086|0|0|1
-51.3|0.9712534856222311|-0.20883279802739235|0.0|1|0.0|1|0|0.5665289040789379|0|0|1
-51.888888888888886|1.1967032904743342|19.410836615521895|0.0|0|0.0|1|-1|194.06793376278193|0|0|1
-52.151162790697676|1.073111557742089|-0.20910516059000325|37.94958468980301|0|0.0|1|-1|6.153986706454542|0|0|1
-52.13333333333333|0.9568466729604883|-0.017257794264318643|56.875858007206|0|0.0|1|-1|19.983409570099404|0|0|1
-52.17796610169491|1.0627064579647842|0.12963625195487713|65.13535828573417|0|0.0|1|-1|32.15543003979282|0|0|1
-39.52516129032258|2.3711326692692154|-0.38532098005585164|0.13366666205634026|1|0.0|1|0|3.7760832030916127|0|0|1
-39.740990990990994|1.3085081629594255|0.029153687813906877|0.0|1|0.0|1|-1|82.03243877818055|0|0|1
-39.738144329896905|1.1212514454443967|0.09229385091931495|40.6540343026393|1|0.0|1|-1|46.003249342460265|0|0|1
-40.108148148148146|0.7973151105175003|-0.1621608656843007|64.85611129520287|1|0.0|1|-1|51.17552531887101|0|0|1
-40.178053830227746|0.788137600745975|-0.22848558219284387|37.664660943841156|1|0.0|1|-1|51.22393888362397|0|0|1
