rssi.mean|rssi.stddev|rssi.linslope|nonEmptyDataFrame.rate|sleepFrames.binary|emptyNullFrames.rate|associatedProbeRequests.binary|maxConsecutiveBeaconLoss.count|awakeNullFrames.rate|apDisconnectionFrames.binary|clientConnectionFrames.binary|clientAssociated.binary
-37.07865168539326|3.219409950478307|-0.003780969011607861|0.34075403114458924|1|0.0|0|0|1.0222620934337676|0|0|1
-37.21809744779582|3.1876715967303433|-0.0015709334303212691|0.446616854420924|1|0.0|0|0|0.9606475736601007|0|0|1
-37.27764127764128|3.2426922322488934|0.002339157925590858|0.4977669374957686|1|0.0|0|0|0.8352360476623915|0|0|1
-37.33268101761252|3.097705806908768|0.0018494896390462315|0.581888956994796|1|0.0|0|0|1.1553447406998125|0|0|1
-56.666666666666664|6.059886320899281|0.5137504970773064|0.6368806105471871|1|0.0|0|0|0.0|0|0|1
-56.580882352941174|5.307188724987059|-0.10131570827507144|0.9545115150941391|1|0.0|0|0|0.0|0|0|1
-56.77922077922078|5.747101757720513|0.07163819677164517|0.9058105565641184|1|0.0|0|0|0.15096842609401973|0|0|1
-56.833333333333336|5.433216475518095|-0.16834330009611698|0.6521600263323328|1|0.0|0|0|0.0|0|0|1
-57.333333333333336|6.123311971061861|-0.018293277286410236|0.5026373485833845|1|0.0|0|0|0.0|0|0|1
-56.46938775510204|5.2918961565093685|0.27366781561467807|0.8556830043896387|1|0.0|0|0|0.0|0|0|1
-56.89705882352941|5.759620355856679|-0.20385440947298789|0.501814188826626|1|0.0|0|0|0.0|0|0|1
-55.46341463414634|2.9225578587659515|0.14682342281423122|0.7036152364914552|1|0.0|0|0|0.0|0|0|1
-55.55882352941177|3.0887954674025226|-0.07331781714531535|1.102567634493513|1|0.0|0|0|0.05011671065879604|0|0|1
-55.25|2.751747696395036|-0.006076312167635559|0.8028103311320295|1|0.0|0|0|0.10035129139150369|0|0|1
-55.1764705882353|3.135538746296576|-0.049141511357483014|0.8047330472067802|1|0.0|0|0|0.0|0|0|1
-54.68888888888889|2.5804583763546285|-0.008129884208645582|0.6012630482830554|1|0.0|0|0|0.0|0|0|1
-54.98360655737705|2.802175988661742|0.0018728614332834837|0.8033054465952937|1|0.0|0|0|0.0|0|0|1
-56.48717948717949|5.363082709344648|-0.16592292222981497|0.5030509556201969|1|0.0|0|0|0.0|0|0|1
-57.61290322580645|6.266538991031543|0.1512872314980377|0.9725475341631835|1|0.0|0|0|0.14588213012447754|0|0|1
-54.75|2.7971170222862747|-0.07291900741175318|0.571098688043706|1|0.0|0|0|0.051918062549427824|0|0|1
-57.43589743589744|6.146897786667436|0.12463729803573172|0.6035282692594278|1|0.0|0|0|0.0|0|0|1
-57.53225806451613|5.2500929083499015|0.03362474134810148|0.7519969684204245|1|0.0|0|0|0.0|0|0|1
-56.61290322580645|4.988227556149085|-0.07304943484784568|0.5524368483370939|1|0.0|0|0|0.0|0|0|1
-57.0|5.4050241178264615|-0.013813344346255212|0.40099600704947497|1|0.0|0|0|0.05012450088118437|0|0|1
-57.756410256410255|4.441026381239945|0.222401752177251|1.4516461526383861|1|0.0|0|0|0.050056763884082284|0|0|1
-55.436619718309856|2.715279636294052|0.13921644066548539|0.80343312510403|1|0.0|0|0|0.10042914063800375|0|0|1
